Name,Team,IP,GB%,HR/FB,LD%,GB%,FB%,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,LD%,GB%,FB%,IFFB%,ERA-,FIP-,xFIP-,NameASCII,PlayerId,MLBAMID
"Shane Bieber","CLE",818.1,0.46139706,0.13105413,0.21599265,0.46139706,0.32261029,0.40931489,92.59333986,0.24217136,84.8892584,0.09736131,87.23183673,0.20131935,82.49722002,0.04983309,87.66341463,,,,,0.00031784,0.21599265,0.46139706,0.32261029,0.08689459,75.99493502401289,73.5657558204684,73.44621510576503,"Shane Bieber",19427,669456
"Clayton Kershaw","LAD",2703.1,0.46748862,0.09798775,0.19697637,0.46748862,0.33553501,0.55313754,92.67519935,0.28440954,86.46642118,,,0.142931,73.49172041,0.01873415,84.31515957,0.00078777,84.78125,,,0.00404511,0.19697637,0.46748862,0.33553501,0.11898513,63.44326340967959,69.50116836910347,73.74418238910623,"Clayton Kershaw",2036,477132
"Stephen Strasburg","WSN",1470,0.45799677,0.12153344,0.21190092,0.45799677,0.33010232,0.57315925,95.0595783,0.03634418,88.92252682,,,0.21485445,81.09269269,0.17564212,88.30876934,,,,,0.00371811,0.21190092,0.45799677,0.33010232,0.08972268,80.09298395535853,75.07417078209902,74.4208201964304,"Stephen Strasburg",10131,544931
"Ryan Walker","SFG",19.1,0.41860465,0.23076923,0.27906977,0.41860465,0.30232558,0.48087432,95.14204545,0.51912568,83.63684211,,,,,,,,,,,0.0027248,0.27906977,0.41860465,0.30232558,0.15384615,55.06110789658767,99.8921808287476,74.84931793913354,"Ryan Walker",20423,676254
"Shane McClanahan","TBR",404.2,0.46775746,0.14457831,0.21270452,0.46775746,0.31953802,0.39067009,96.69470661,0.21449182,89.29147982,,,0.19365181,82.55877483,,,0.20118628,87.63665339,,,0.00032056,0.21270452,0.46775746,0.31953802,0.06927711,76.13980879826045,83.97867440770429,75.40656140155677,"Shane McClanahan",21483,663556
"Brandon Webb","ARI",467,0.62949376,0.0971223,0.16654439,0.62949376,0.20396185,0.72284866,88.14544265,,,0.00326409,83.72727273,0.13902077,74.57918552,0.13486647,78.69505178,,,,,0.01542491,0.16654439,0.62949376,0.20396185,0.05395683,70.52731808602813,73.33363339828736,75.48071737664631,"Brandon Webb",1692,425630
"John Smoltz","- - -",310.2,0.43798883,0.09281437,0.18882682,0.43798883,0.37318436,0.43575064,92.17002119,0.34923664,86.2121015,,,0.06891433,77.53721683,0.06212892,84.31320755,0.08396947,86.35770235,,,0.01744548,0.18882682,0.43798883,0.37318436,0.08383234,86.6588700568568,74.80449694241999,75.62357947259088,"John Smoltz",115,122477
"Logan Webb","SFG",635,0.5803224,0.12342569,0.19899944,0.5803224,0.22067815,0.41283845,92.48206388,0.25859446,82.89098039,0.01095224,91.32407407,,,0.31761485,86.598659,,,,,0.0001014,0.19899944,0.5803224,0.22067815,0.06549118,83.62625907679494,78.2845788927364,75.77548576471915,"Logan Webb",17995,657277
"Tyler Glasnow","- - -",456.2,0.46016115,0.16410256,0.19068935,0.46016115,0.34914951,0.57004571,96.24333255,0.16536703,88.77154472,,,0.22411939,82.4895021,0.04046787,90.10963455,,,,,0.00255136,0.19068935,0.46016115,0.34914951,0.08205128,93.00883363735446,85.88828140687161,75.97019524455068,"Tyler Glasnow",14374,607192
"Cristopher Sánchez","PHI",105,0.55115512,0.2195122,0.17821782,0.55115512,0.27062706,0.47250639,92.28010825,0.21099744,82.94848485,,,,,0.31649616,82.16161616,,,,,,0.17821782,0.55115512,0.27062706,0.07317073,88.50279336442607,96.4669877730179,76.80903350820299,"Cristopher Sanchez",20778,650911
"Angel Guzman","CHC",17.1,0.40425532,0.0625,0.25531915,0.40425532,0.34042553,0.56976744,94.07142857,0.16666667,87.82352941,,,0.19379845,77.1,0.06976744,84.08333333,,,,,0.00766284,0.25531915,0.40425532,0.34042553,0,67.59127550579832,66.6106977234758,76.9392988305742,"Angel Guzman",2145,425768
"Allan Winans","ATL",22,0.42857143,0.08333333,0.19047619,0.42857143,0.38095238,0.44751381,89.77160494,0.25966851,78.76595745,,,,,0.29281768,83.01886792,,,,,0.00550964,0.19047619,0.42857143,0.38095238,0.125,101.36029076198712,63.80928629093967,77.07093570077696,"Allan Winans",21238,642216
"Gerrit Cole","- - -",1850,0.4355423,0.1227652,0.2069039,0.4355423,0.3575538,0.57786858,96.46489175,0.19973661,88.45972927,0.01425002,92.53317536,0.13402445,82.60766515,0.07412035,88.85088919,,,,,0.00111317,0.2069039,0.4355423,0.3575538,0.09415971,78.96355522348979,76.3689722926976,77.07199439822197,"Gerrit Cole",13125,543037
"Roy Halladay","- - -",1410.2,0.50566129,0.09620049,0.19633823,0.50566129,0.29800048,0.33524606,91.92143975,,,0.36257537,90.37030311,0.20628282,77.55633101,0.04225832,84.31365314,0.05363742,82.42258652,,,0.01067462,0.19633823,0.50566129,0.29800048,0.11236863,76.410067138807,76.41956641128753,78.21986266837801,"Roy Halladay",1303,136880
"Shohei Ohtani","LAA",481.2,0.4340949,0.12649165,0.19771529,0.4340949,0.36818981,0.38786932,96.43087248,0.32279058,83.90846774,0.09996095,89.01302083,0.05857087,76.49555556,,,0.13080828,88.35024876,,,0.00104085,0.19771529,0.4340949,0.36818981,0.1097852,70.64327809866194,76.97581414550078,78.4619365277407,"Shohei Ohtani",19755,660271
"Max Fried","ATL",685,0.53072034,0.11967546,0.20815678,0.53072034,0.26112288,0.51007147,93.70282075,0.17339645,85.19593148,,,0.23828089,74.39399844,0.07825118,85.7995255,,,,,0.00157802,0.20815678,0.53072034,0.26112288,0.07707911,69.90504852176096,76.67884880133641,78.63147613685764,"Max Fried",13743,608331
"Framber Valdez","HOU",654.1,0.63519553,0.16566265,0.17932961,0.63519553,0.18547486,0.53909383,93.73293658,,,0.06736167,84.48660714,0.28548516,79.37183989,0.10805934,89.01299907,,,,,0.00140196,0.17932961,0.63519553,0.18547486,0.06927711,80.9507773797799,85.70144100627404,78.84562645673024,"Framber Valdez",17295,664285
"Aaron Nola","PHI",1415.1,0.47076101,0.13570275,0.19866489,0.47076101,0.3305741,0.51235178,92.15939995,,,0.02124506,86.60676533,0.30205713,78.2981856,0.16434603,84.98961465,,,,,0.00260288,0.19866489,0.47076101,0.3305741,0.08642973,87.9613223629496,78.06159333055417,78.84953076556289,"Aaron Nola",16149,605400
"Brandon Woodruff","MIL",653.2,0.42293689,0.12126246,0.21177184,0.42293689,0.36529126,0.61933421,96.05709947,0.13362799,87.46338028,,,0.09206319,83.69356486,0.15497461,86.29247573,,,,,0.00047015,0.21177184,0.42293689,0.36529126,0.08305648,73.49015498594117,75.52640079019281,79.15753141267284,"Brandon Woodruff",16162,605540
"Lance Broadway","CHW",11.1,0.65625,0,0.125,0.65625,0.21875,0.60209424,90.72972973,0.17801047,84.02941176,0.10994764,86.28571429,,,0.10994764,80.66666667,,,,,0.03045685,0.125,0.65625,0.21875,0.14285714,35.14078039294217,58.66155895620081,79.36384876976847,"Lance Broadway",9885,473560
"Cliff Lee","- - -",1506.2,0.43613636,0.08354115,0.19931818,0.43613636,0.36454545,0.60063148,90.88273842,0.0105097,79.9954955,0.16084799,86.32616082,0.08322057,74.91049724,0.14479026,83.85317335,,,,,0.00929484,0.19931818,0.43613636,0.36454545,0.10162095,77.17279402194637,73.72120413692826,79.6018046782497,"Cliff Lee",1636,424324
"Corey Kluber","- - -",1619,0.43124714,0.1116917,0.21904979,0.43124714,0.34970306,0.44696013,92.28099626,,,0.27157226,88.37825629,0.20678422,82.81712369,0.07468339,84.50082102,,,,,0.00158614,0.21904979,0.43124714,0.34970306,0.10124102,81.58685321756252,77.44378206382592,79.60976821581961,"Corey Kluber",2429,446372
"Scott Copeland","TOR",12.1,0.43137255,0.11111111,0.39215686,0.43137255,0.17647059,0.63033175,90.27272727,0.18957346,79.33333333,,,0.07582938,73.3125,0.1042654,84.68181818,,,,,,0.39215686,0.43137255,0.17647059,0.11111111,197.8531340124915,78.7065993752136,79.9586394069163,"Scott Copeland",10706,571577
"Shane Baz","TBR",40.1,0.42857143,0.20512821,0.2,0.42857143,0.37142857,0.44548287,96.38811189,0.32242991,87.50724638,,,0.15732087,82.44554455,0.07476636,88.58333333,,,,,,0.2,0.42857143,0.37142857,0.07692308,106.2957095419547,110.69783466198075,80.23620562312666,"Shane Baz",22264,669358
"Sawyer Gipson-Long","DET",15,0.35294118,0.06666667,0.20588235,0.35294118,0.44117647,0.39344262,93,0.3442623,82.48809524,0.01639344,88,,,0.24590164,85.76666667,,,,,,0.20588235,0.35294118,0.44117647,0.06666667,55.78317985310254,62.5531652697628,80.32371728204193,"Sawyer Gipson-Long",26048,687830
"Hunter Brown","HOU",161.2,0.52655889,0.176,0.18475751,0.52655889,0.2886836,0.46861472,95.81678214,0.01623377,84.46666667,0.23051948,91.79186228,0.24025974,82.95495495,0.001443,88.75,0.04292929,88.23529412,,,0.0018005,0.18475751,0.52655889,0.2886836,0.08,110.35546332278503,93.19935388522487,80.35724320936966,"Hunter Brown",25880,686613
"Max Scherzer","- - -",2815.2,0.36550745,0.10584416,0.19730305,0.36550745,0.4371895,0.55459619,93.84824345,0.1843967,85.2341037,0.03319712,89.34679021,0.06279111,77.45429072,0.16501889,84.30002682,,,,,0.00324277,0.19730305,0.36550745,0.4371895,0.11168831,75.5059763045052,76.10761990715602,80.39410276644247,"Max Scherzer",3137,453286
"Jonathan Loáisiga","NYY",38.1,0.49038462,0.19230769,0.25961538,0.49038462,0.25,0.55525606,96.24817518,0.00134771,88,,,0.3032345,84.16,0.14016173,88.75,,,,,,0.25961538,0.49038462,0.25,0.07692308,95.03077238989752,88.54382200170973,80.98683293425222,"Jonathan Loaisiga",19753,642528
"Jeffrey Springs","- - -",146,0.39896373,0.09493671,0.19170984,0.39896373,0.40932642,0.41204714,91.48728814,0.25316456,85.12931034,,,,,0.3347883,80.9791395,,,,,,0.19170984,0.39896373,0.40932642,0.10126582,62.908717039408714,76.78598995140891,81.04034185508247,"Jeffrey Springs",17677,605488
"Walker Buehler","LAD",628,0.45119705,0.11586453,0.20441989,0.45119705,0.34438306,0.55274737,96.05122951,0.13465671,85.93206107,0.14488898,92.02193914,0.13434974,80.34150077,0.03335721,90.92,,,,,0.00133006,0.20441989,0.45119705,0.34438306,0.08734403,70.32292319692749,74.91777203512567,81.14591996235175,"Walker Buehler",19374,621111
"Edward Mujica","SDP",16.2,0.46428571,0.09090909,0.14285714,0.46428571,0.39285714,0.5498155,92.10273973,0.20664207,82.35714286,,,,,,,0.24354244,85.81538462,,,0.01454545,0.14285714,0.46428571,0.39285714,0.04545455,155.13045556752877,79.95653076927852,81.2208900987463,"Edward Mujica",3970,465629
"Carlos Carrasco","- - -",1461,0.47183099,0.14176245,0.21126761,0.47183099,0.31690141,0.50179118,93.63343599,0.19886413,85.79521277,0.00039318,89.77777778,0.10659677,81.94829024,0.19235474,87.690416,,,,,0.00392157,0.21126761,0.47183099,0.31690141,0.07049808,97.78000215796318,87.30167452310961,81.40159131367191,"Carlos Carrasco",6632,471911
"Félix Hernández","SEA",2448.2,0.52454743,0.11797189,0.18696597,0.52454743,0.2884866,0.52946058,92.79729589,0.10526034,85.84111903,0.00010708,86,0.16064784,80.54761905,0.20452416,88.1222983,,,,,0.01093345,0.18696597,0.52454743,0.2884866,0.08333333,83.60667400273891,85.59122248740154,81.4869956076632,"Felix Hernandez",4772,433587
"Lance McCullers Jr.","HOU",716.1,0.55102041,0.11801242,0.1895811,0.55102041,0.2593985,0.40163797,94.11215148,0.07278957,85.78760046,0.01337122,88.63125,0.38149758,84.85824007,0.13070366,87.32033248,,,,,0.00116871,0.1895811,0.55102041,0.2593985,0.06832298,84.61288283672855,80.59879385409641,81.56836096164305,"Lance McCullers Jr.",14120,621121
"Yu Darvish","- - -",1624.1,0.4073533,0.13149455,0.21305089,0.4073533,0.37959581,0.4148405,93.70631046,0.20301841,81.97497177,0.2312207,87.6356282,0.09104768,74.88898234,0.01516826,86.98481013,0.04470445,89.32299742,,,0.00144696,0.21305089,0.4073533,0.37959581,0.09172547,85.29008000393733,83.37441899507834,81.66329029370017,"Yu Darvish",13074,506433
"Randy Johnson","- - -",332.1,0.41914894,0.13136729,0.18404255,0.41914894,0.39680851,0.51067547,90.80203666,0.35423137,84.21883975,,,,,0.0001941,83,0.13489907,84.39064857,,,0.01790817,0.18404255,0.41914894,0.39680851,0.10455764,94.08239630464361,91.89461986451019,81.91390790425372,"Randy Johnson",60,116615
"Masahiro Tanaka","NYY",1051.1,0.47570248,0.16241062,0.20066116,0.47570248,0.32363636,0.31171601,91.4953629,0.29139488,83.7514538,0.0655419,88.95210728,0.05249624,75.9569378,0.00777722,84.58870968,0.27107376,87.14107019,,,0.00031358,0.20066116,0.47570248,0.32363636,0.11440245,87.46836729778703,89.3675322549936,82.30209713736383,"Masahiro Tanaka",15764,547888
"Luis Severino","NYY",696,0.45378151,0.1509434,0.21218487,0.45378151,0.33403361,0.5072339,96.90159755,0.31148812,87.70993634,0.02686876,91.12820513,,,0.15440923,87.87395427,,,,,0.00086073,0.21218487,0.45378151,0.33403361,0.10062893,92.71339473218555,87.74098188030221,82.62508688964215,"Luis Severino",15890,622663
"Chad Green","NYY",57.2,0.34228188,0.25396825,0.23489933,0.34228188,0.42281879,0.62420958,95.37337192,0.26196929,85.14482759,0.09214092,90.07843137,,,0.01806685,85.85,0.00361337,89.75,,,,0.23489933,0.34228188,0.42281879,0.07936508,122.23744278737135,118.05317594765437,82.75510959869018,"Chad Green",15552,643338
"Luis Castillo","- - -",1046,0.50292184,0.14605418,0.18699781,0.50292184,0.31008035,0.5600718,96.67947788,0.18325517,85.7235387,,,,,0.25667304,87.68511407,,,,,0.00138937,0.18699781,0.50292184,0.31008035,0.09658422,81.02822540986523,84.28981163665837,82.77733571095054,"Luis Castillo",15689,622491
"Anthony Kay","TOR",30.1,0.47619048,0.11111111,0.30952381,0.47619048,0.21428571,0.61896552,94.4273743,0.01724138,83.1,0.08448276,88.16326531,0.13965517,78.32098765,0.13965517,85.88888889,,,,,,0.30952381,0.47619048,0.21428571,0.05555556,111.39880682806707,78.69885347118995,83.35591969275325,"Anthony Kay",20387,641743
"Cory Luebke","SDP",147.1,0.39950372,0.09868421,0.22332506,0.39950372,0.37717122,0.68250799,91.36293665,0.17971246,83.97511312,,,0.03833866,76.69565217,0.09944089,84.73770492,,,,,0.00476948,0.22332506,0.39950372,0.37717122,0.09868421,92.51574008088298,86.47227200436222,83.80019318273962,"Cory Luebke",1984,458537
"James Paxton","- - -",850.2,0.44463743,0.12192118,0.20277898,0.44463743,0.35258359,0.63117523,95.33843404,,,0.13476425,88.34764398,0.18522167,81.1826484,0.04883885,86.21037464,,,,,0.00189673,0.20277898,0.44463743,0.35258359,0.10960591,88.06095396492358,81.72529363257792,83.87643929679432,"James Paxton",11828,572020
"Braxton Garrett","MIA",279.1,0.48297604,0.13852814,0.22572509,0.48297604,0.29129887,0.43038822,90.66148263,0.26729139,83.33222037,0.09549308,87.55373832,0.10821062,77.90309278,0.09861669,84.79411765,,,,,0.00245043,0.22572509,0.48297604,0.29129887,0.06060606,86.93542217581631,89.19606421941211,84.22363073119485,"Braxton Garrett",21844,666129
"Raisel Iglesias","CIN",120.2,0.446875,0.14285714,0.225,0.446875,0.328125,0.57752132,91.39581517,0.29754139,81.82462057,,,,,0.12493728,85.05241935,,,,,0.0005015,0.225,0.446875,0.328125,0.07619048,97.00770653273833,89.52527013926533,84.24440860412588,"Raisel Iglesias",17130,628452
"David Price","- - -",2052.2,0.43796764,0.10184287,0.20323647,0.43796764,0.35879589,0.59195012,93.83996644,0.02793382,87.01138952,0.13155133,88.53770261,0.08454226,78.78002203,0.16402247,84.59138159,,,,,0.00301576,0.20323647,0.43796764,0.35879589,0.1028128,81.27015102736607,82.28187160229561,84.2557443621107,"David Price",3184,456034
"Blake Snell","- - -",986.2,0.41541039,0.11643836,0.21775544,0.41541039,0.36683417,0.52326315,95.18399123,0.14864322,87.23050193,,,0.16614078,80.41505525,0.16195284,86.82636428,,,,,0.00120461,0.21775544,0.41541039,0.36683417,0.09018265,78.54271226272293,82.42031038992421,84.31189381462718,"Blake Snell",13543,605483
"Josh Johnson","- - -",828.2,0.47406463,0.08086253,0.21045918,0.47406463,0.31547619,0.62398207,93.9917872,0.24594696,86.98040435,,,0.05700411,78.63722826,0.07306687,87.42588727,,,,,0.01261155,0.21045918,0.47406463,0.31547619,0.10107817,84.33137270589897,79.44880605561328,84.40196340855407,"Josh Johnson",4567,435178
"Danny Salazar","CLE",585.2,0.41372549,0.12908778,0.20653595,0.41372549,0.37973856,0.68172173,94.82849486,0.08295443,85.7097561,,,0.03586946,80.37853107,0.19945438,85.44054878,,,,,0.00302206,0.20653595,0.41372549,0.37973856,0.09638554,91.69318235723205,88.35154079751338,84.4808620675152,"Danny Salazar",5867,517593
"Justin Steele","CHC",330.2,0.49356223,0.11397059,0.21459227,0.49356223,0.29184549,0.64635514,92.10352805,0.28878505,82.91909385,,,0.04897196,79.34351145,0.01588785,87.65882353,,,,,0.00093371,0.21459227,0.49356223,0.29184549,0.09558824,79.3038750114582,83.14870766477976,84.75943832954103,"Justin Steele",17312,657006
"Marcus Stroman","- - -",1288.1,0.56754638,0.13096559,0.19702117,0.56754638,0.23543245,0.51432369,92.53201876,0.17213034,85.95251716,0.12994684,90.50492424,0.10523725,83.60458587,0.07836188,85.57762414,,,,,0.00122983,0.19702117,0.56754638,0.23543245,0.06104329,86.26496717513871,85.37432569731556,84.79385483073197,"Marcus Stroman",13431,573186
"Noah Syndergaard","- - -",938.1,0.46621874,0.11600928,0.21201941,0.46621874,0.32176185,0.55371393,96.72849396,0.15455972,89.33097658,0.01200464,89.61363636,0.12025101,80.49971607,0.15906146,89.39253539,0.00040925,89.16666667,,,0.00374226,0.21201941,0.46621874,0.32176185,0.09860789,93.39095904059522,81.97297828268866,84.94374238132222,"Noah Syndergaard",11762,592789
"George Kirby","SEA",308.2,0.44137168,0.1026393,0.18141593,0.44137168,0.37721239,0.59709962,95.7,0.19945355,86.61433087,,,0.12631358,81.43094842,0.04581757,86.22477064,0.03131568,84.76510067,,,,0.18141593,0.44137168,0.37721239,0.09970674,88.49925812562616,80.3616399185479,85.13606579000896,"George Kirby",25436,669923
"Zack Greinke","- - -",2978,0.4494684,0.10672615,0.21007127,0.4494684,0.34046033,0.52291245,91.60799163,0.16847006,84.54004933,0.0258223,87.04380792,0.13480191,72.7168616,0.14799327,86.53792798,,,,,0.00469947,0.21007127,0.4494684,0.34046033,0.08991078,79.99532897087629,83.17325927353582,85.24062789501394,"Zack Greinke",1943,425844
"Zac Gallen","- - -",655,0.42974721,0.11928105,0.21046443,0.42974721,0.35978836,0.49117342,93.58985201,0.04389691,87.12043011,0.11724724,89.12962963,0.19409044,81.37451362,0.15359199,86.05347265,,,,,0.00122665,0.21046443,0.42974721,0.35978836,0.07352941,75.77308325574198,84.87158697656054,85.44714822102102,"Zac Gallen",19291,668678
"Tarik Skubal","DET",364.2,0.42710472,0.14594595,0.19301848,0.42710472,0.3798768,0.5238016,94.69230769,0.24284288,87.87997257,,,0.06840879,75.57317073,0.15795606,83.34773446,0.00699068,85.14285714,,,0.00016642,0.19301848,0.42710472,0.3798768,0.08918919,93.57381924873917,91.24718387084165,85.54583284161494,"Tarik Skubal",22267,669373
"Huascar Ynoa","ATL",109.1,0.48837209,0.1978022,0.20930233,0.48837209,0.30232558,0.45689655,96.29481132,0.46928879,85.24225029,,,,,0.07381466,88.24817518,,,,,0.00215517,0.20930233,0.48837209,0.30232558,0.04395604,121.22897342836681,103.31725356804971,85.72497827243363,"Huascar Ynoa",20468,660623
"Kodai Senga","NYM",161.1,0.44810127,0.10638298,0.19493671,0.44810127,0.35696203,0.36346795,95.72069317,0.11967395,82.73065015,0.25268618,90.91935484,0.02519452,72.58823529,,,0.2389774,83.24806202,,,0.0029553,0.19493671,0.44810127,0.35696203,0.14184397,70.72674644441886,81.58552624412368,85.86245608899357,"Kodai Senga",31838,673540
"Andre Pallante","STL",54.1,0.61403509,0.19354839,0.20467836,0.61403509,0.18128655,0.60532407,95.23900574,0.22569444,87.28717949,,,0.16782407,77.09655172,0.00115741,83,,,,,,0.20467836,0.61403509,0.18128655,0.03225806,101.12764877336944,102.43118929289601,85.96432252244205,"Andre Pallante",26108,669467
"Josh Beckett","- - -",1237.1,0.43723908,0.11281658,0.20011133,0.43723908,0.3626496,0.54987147,93.44472261,,,0.10863753,90.04866412,0.22354756,76.29702251,0.11794344,87.54268574,,,,,0.00729629,0.20011133,0.43723908,0.3626496,0.10744436,90.67673179964628,92.13788972536618,86.00795397052303,"Josh Beckett",510,277417
"Taj Bradley","TBR",95.2,0.3540856,0.18691589,0.22957198,0.3540856,0.41634241,0.44470727,96.17952128,,,0.25192194,88.83802817,0.1655825,79.02857143,0.13778829,89.29613734,,,,,0.00059102,0.22957198,0.3540856,0.41634241,0.13084112,130.5030129763219,110.89773917374107,86.42747505027958,"Taj Bradley",22543,671737
"Tim Lincecum","- - -",1667,0.46402317,0.09837178,0.20761862,0.46402317,0.32835821,0.54793068,91.63188446,0.11461685,82.58527132,,,0.12064931,77.64792714,0.21680316,83.27380952,,,,,0.01138294,0.20761862,0.46402317,0.32835821,0.07191316,98.10735731424428,89.26801368217406,86.43174468755484,"Tim Lincecum",5705,453311
"Pablo López","- - -",699.2,0.46991701,0.13153724,0.20280083,0.46991701,0.32728216,0.49861298,93.82301203,0.05521253,84.40032415,0.05154362,90.09201389,0.12304251,80.60407569,0.27158837,87.4369028,,,,,0.00411486,0.20280083,0.46991701,0.32728216,0.10618067,92.77290068183034,88.74060054586708,86.5633469900777,"Pablo Lopez",17085,641154
"Hyun Jin Ryu","- - -",1048.1,0.4805746,0.12288136,0.21123082,0.4805746,0.30819458,0.43168806,90.2440124,0.06779967,83.05670567,0.13053697,86.50069348,0.13318869,72.35633227,0.2367866,80.22016936,,,,,0.00276825,0.21123082,0.4805746,0.30819458,0.08368644,82.09744998601116,86.10505618251231,86.61964926845957,"Hyun Jin Ryu",14444,547943
"Drew Rasmussen","TBR",232.2,0.48318043,0.08056872,0.1941896,0.48318043,0.32262997,0.43666859,95.75878065,0.23076923,84.96737767,0.28021978,89.81011352,0.04973973,79.8255814,0.00260266,91,,,,,0.0011554,0.1941896,0.48318043,0.32262997,0.09478673,68.5594659084994,78.58284971186647,86.66251456245317,"Drew Rasmussen",25385,656876
"CC Sabathia","- - -",2411,0.46452991,0.11581197,0.20213675,0.46452991,0.33333333,0.49376458,92.37512599,0.23885,80.49510651,0.09153324,88.88625037,0.01837101,77.87443268,0.15745434,85.19369997,0.00002682,93,,,0.00599824,0.20213675,0.46452991,0.33333333,0.0974359,85.28073443780559,86.39841924233855,86.70344715218316,"CC Sabathia",404,282332
"Zack Wheeler","- - -",1374.2,0.46728477,0.10539419,0.21350993,0.46728477,0.3192053,0.61468259,95.82963071,0.17733638,89.62935826,0.03265781,91.23424658,0.11649443,80.02229912,0.04097884,88.58406114,0.01784995,89.68922306,,,0.00227974,0.21350993,0.46728477,0.3192053,0.11784232,86.49375195551889,81.0313809304265,86.97341201154849,"Zack Wheeler",10310,554430
"Jon Lieber","- - -",77.2,0.43629344,0.13157895,0.27027027,0.43629344,0.29343629,0.60328436,88.30873786,0.32497839,82.63758389,,,,,0.07173725,82.23333333,,,,,0.03098827,0.27027027,0.43629344,0.29343629,0.10526316,109.61198392540015,95.53150479027505,86.98599313002892,"Jon Lieber",287,117758
"Chris Carpenter","STL",702.1,0.50334928,0.07336523,0.19665072,0.50334928,0.3,0.4966881,92.14285714,0.24108708,87.34587081,,,0.23417105,74.59695817,0.02805377,84.75812274,,,,,0.01060139,0.19665072,0.50334928,0.3,0.08133971,78.87890396052163,82.16022268968612,87.03691505905833,"Chris Carpenter",1292,112020
"Germán Márquez","COL",1010.2,0.48353909,0.16395349,0.22153635,0.48353909,0.29492455,0.55693398,95.16245734,0.17222609,86.92573529,,,0.22919172,83.85793256,0.04164821,86.35410334,,,,,0.00354363,0.22153635,0.48353909,0.29492455,0.0627907,91.25334797879813,90.31392771031715,87.0945274047723,"German Marquez",15038,608566
